date,away,away score,home,home score,winner
2019-02-16T21:25:00.000Z,Washington Justice,1,New York Excelsior,3,New York Excelsior
2019-02-22T00:00:00.000Z,Washington Justice,2,London Spitfire,3,London Spitfire
2019-03-01T00:00:00.000Z,Washington Justice,1,Philadelphia Fusion,3,Philadelphia Fusion
2019-03-02T23:20:00.000Z,San Francisco Shock,4,Washington Justice,0,San Francisco Shock
2019-03-09T21:45:00.000Z,Seoul Dynasty,3,Washington Justice,1,Seoul Dynasty
2019-03-16T19:00:00.000Z,Washington Justice,1,Paris Eternal,2,Paris Eternal
2019-03-17T20:25:00.000Z,Washington Justice,3,Florida Mayhem,2,Washington Justice
2019-04-06T00:30:00.000Z,Washington Justice,1,Toronto Defiant,3,Toronto Defiant
2019-04-08T00:10:00.000Z,Washington Justice,1,Chengdu Hunters,3,Chengdu Hunters
2019-04-12T00:35:00.000Z,New York Excelsior,4,Washington Justice,0,New York Excelsior
2019-04-14T20:40:00.000Z,Atlanta Reign,3,Washington Justice,1,Atlanta Reign
2019-04-20T02:30:00.000Z,Los Angeles Valiant,3,Washington Justice,1,Los Angeles Valiant
2019-05-04T03:35:00.000Z,Shanghai Dragons,3,Washington Justice,1,Shanghai Dragons
2019-05-05T20:55:00.000Z,Washington Justice,3,Boston Uprising,2,Washington Justice
2019-06-09T22:10:00.000Z,Washington Justice,0,Dallas Fuel,3,Dallas Fuel
2019-06-15T19:00:00.000Z,Washington Justice,0,Hangzhou Spark,3,Hangzhou Spark
2019-06-16T23:45:00.000Z,Washington Justice,0,Los Angeles Gladiators,4,Los Angeles Gladiators
2019-06-22T19:00:00.000Z,London Spitfire,2,Washington Justice,1,London Spitfire
2019-06-29T03:45:00.000Z,Houston Outlaws,3,Washington Justice,0,Houston Outlaws
2019-07-06T17:15:00.000Z,Philadelphia Fusion,3,Washington Justice,1,Philadelphia Fusion
2019-07-07T18:00:00.000Z,Washington Justice,0,Guangzhou Charge,4,Guangzhou Charge
2019-07-26T23:00:00.000Z,Toronto Defiant,0,Washington Justice,0,N/A
2019-08-02T00:45:00.000Z,Florida Mayhem,0,Washington Justice,0,N/A
2019-08-04T22:30:00.000Z,Vancouver Titans,0,Washington Justice,0,N/A
2019-08-09T23:00:00.000Z,Boston Uprising,0,Washington Justice,0,N/A
2019-08-11T20:45:00.000Z,Washington Justice,0,Houston Outlaws,0,N/A
2019-08-16T23:00:00.000Z,Washington Justice,0,Atlanta Reign,0,N/A
2019-08-18T20:45:00.000Z,Paris Eternal,0,Washington Justice,0,N/A
