date,away,away score,home,home score,winner
2019-04-13T04:15:00.000Z,Chengdu Hunters,1,Shanghai Dragons,3,Shanghai Dragons
2019-04-21T00:00:00.000Z,Los Angeles Gladiators,3,Chengdu Hunters,1,Los Angeles Gladiators
2019-04-27T18:25:00.000Z,Hangzhou Spark,3,Chengdu Hunters,1,Hangzhou Spark
2019-04-28T19:25:00.000Z,Chengdu Hunters,3,London Spitfire,1,Chengdu Hunters
2019-05-05T00:05:00.000Z,Chengdu Hunters,2,Los Angeles Valiant,3,Los Angeles Valiant
2019-06-07T02:25:00.000Z,Guangzhou Charge,3,Chengdu Hunters,1,Guangzhou Charge
2019-06-08T23:40:00.000Z,Los Angeles Valiant,4,Chengdu Hunters,0,Los Angeles Valiant
2019-06-14T02:25:00.000Z,Dallas Fuel,1,Chengdu Hunters,3,Chengdu Hunters
2019-06-22T04:15:00.000Z,Chengdu Hunters,1,Vancouver Titans,3,Vancouver Titans
2019-06-23T19:00:00.000Z,Chengdu Hunters,4,Dallas Fuel,0,Chengdu Hunters
2019-06-28T04:00:00.000Z,San Francisco Shock,2,Chengdu Hunters,3,Chengdu Hunters
2019-07-01T00:10:00.000Z,Chengdu Hunters,0,Seoul Dynasty,3,Seoul Dynasty
2019-07-27T04:15:00.000Z,Philadelphia Fusion,0,Chengdu Hunters,0,N/A
2019-07-29T00:15:00.000Z,Boston Uprising,0,Chengdu Hunters,0,N/A
2019-08-03T02:30:00.000Z,Chengdu Hunters,0,Los Angeles Gladiators,0,N/A
2019-08-05T00:15:00.000Z,Chengdu Hunters,0,New York Excelsior,0,N/A
2019-08-11T00:15:00.000Z,Chengdu Hunters,0,Hangzhou Spark,0,N/A
2019-08-17T00:45:00.000Z,Chengdu Hunters,0,San Francisco Shock,0,N/A
2019-08-18T00:15:00.000Z,Chengdu Hunters,0,Houston Outlaws,0,N/A
2019-05-11T02:15:00.000Z,Dallas Fuel,0,Vancouver Titans,3,Vancouver Titans
2019-02-16T03:55:00.000Z,Dallas Fuel,0,San Francisco Shock,4,San Francisco Shock
2019-02-18T02:20:00.000Z,Seoul Dynasty,1,Dallas Fuel,3,Dallas Fuel
2019-02-22T03:40:00.000Z,Guangzhou Charge,4,Dallas Fuel,0,Guangzhou Charge
2019-02-23T21:35:00.000Z,Philadelphia Fusion,1,Dallas Fuel,3,Dallas Fuel
2019-03-03T00:50:00.000Z,Shanghai Dragons,2,Dallas Fuel,3,Dallas Fuel
2019-03-09T05:10:00.000Z,Dallas Fuel,4,Shanghai Dragons,0,Dallas Fuel
2019-03-16T22:25:00.000Z,Boston Uprising,3,Dallas Fuel,2,Boston Uprising
2019-04-13T22:05:00.000Z,Dallas Fuel,4,Toronto Defiant,0,Dallas Fuel
2019-04-14T19:00:00.000Z,Dallas Fuel,2,Paris Eternal,1,Dallas Fuel
2019-04-19T03:35:00.000Z,Vancouver Titans,4,Dallas Fuel,0,Vancouver Titans
2019-04-20T22:15:00.000Z,Dallas Fuel,0,Seoul Dynasty,4,Seoul Dynasty
2019-04-27T21:55:00.000Z,Los Angeles Valiant,0,Dallas Fuel,4,Dallas Fuel
2019-04-28T23:20:00.000Z,Houston Outlaws,1,Dallas Fuel,3,Dallas Fuel
2019-05-03T00:30:00.000Z,Dallas Fuel,3,Florida Mayhem,1,Dallas Fuel
2019-06-08T03:55:00.000Z,Los Angeles Gladiators,4,Dallas Fuel,0,Los Angeles Gladiators
2019-06-09T22:10:00.000Z,Washington Justice,0,Dallas Fuel,3,Dallas Fuel
2019-06-14T02:25:00.000Z,Dallas Fuel,1,Chengdu Hunters,3,Chengdu Hunters
2019-06-15T22:10:00.000Z,Dallas Fuel,0,Vancouver Titans,4,Vancouver Titans
2019-06-23T19:00:00.000Z,Chengdu Hunters,4,Dallas Fuel,0,Chengdu Hunters
2019-06-21T01:50:00.000Z,Hangzhou Spark,3,Dallas Fuel,0,Hangzhou Spark
2019-06-29T19:00:00.000Z,Dallas Fuel,2,New York Excelsior,3,New York Excelsior
2019-07-27T00:45:00.000Z,Dallas Fuel,0,London Spitfire,0,N/A
2019-08-03T22:30:00.000Z,Dallas Fuel,0,Los Angeles Valiant,0,N/A
2019-08-10T00:45:00.000Z,Dallas Fuel,0,Los Angeles Gladiators,0,N/A
2019-08-11T22:30:00.000Z,San Francisco Shock,0,Dallas Fuel,0,N/A
2019-08-16T00:45:00.000Z,Dallas Fuel,0,Hangzhou Spark,0,N/A
2019-08-19T00:15:00.000Z,Dallas Fuel,0,Guangzhou Charge,0,N/A
2019-08-24T21:00:00.000Z,Atlanta Reign,0,Dallas Fuel,0,N/A
2019-02-16T02:10:00.000Z,Atlanta Reign,4,Florida Mayhem,0,Atlanta Reign
2019-02-22T02:05:00.000Z,Philadelphia Fusion,1,Florida Mayhem,2,Florida Mayhem
2019-02-24T01:15:00.000Z,Chengdu Hunters,3,Florida Mayhem,2,Chengdu Hunters
2019-03-01T03:25:00.000Z,Florida Mayhem,2,Guangzhou Charge,3,Guangzhou Charge
2019-03-02T21:30:00.000Z,Florida Mayhem,1,Houston Outlaws,3,Houston Outlaws
2019-03-10T22:15:00.000Z,Florida Mayhem,0,Boston Uprising,4,Boston Uprising
2019-03-17T20:25:00.000Z,Washington Justice,3,Florida Mayhem,2,Washington Justice
2019-04-05T23:00:00.000Z,London Spitfire,2,Florida Mayhem,1,London Spitfire
2019-04-06T19:00:00.000Z,Florida Mayhem,1,Philadelphia Fusion,3,Philadelphia Fusion
2019-04-11T23:00:00.000Z,Paris Eternal,3,Florida Mayhem,1,Paris Eternal
2019-04-14T22:05:00.000Z,New York Excelsior,4,Florida Mayhem,0,New York Excelsior
2019-04-19T01:55:00.000Z,Florida Mayhem,1,Los Angeles Gladiators,3,Los Angeles Gladiators
2019-04-20T20:40:00.000Z,Shanghai Dragons,3,Florida Mayhem,1,Shanghai Dragons
